epoch,ach_id,loss,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
32,ACH-000755,-102.92410278320312,-5.85551643371582,0.109375,-5.600815606680365,2.017195224761963,-6.0,-4.679008483886719,-4.882129669189453,-4.64515495300293,0.0
33,ACH-000759,-82.41014862060547,-5.847258567810059,0.109375,-5.6254599027933345,1.7260692119598389,-6.0,-4.603506565093994,-4.638061046600342,-4.522242546081543,0.0
34,ACH-000768,-88.02618408203125,-5.859820365905762,0.109375,-5.648895949104578,1.9726905822753906,-6.0,-4.718357086181641,-4.986020088195801,-4.447256088256836,0.0
35,ACH-000783,-92.0242919921875,-5.832964897155762,0.109375,-5.667302843909696,2.191693067550659,-6.0,-4.4728217124938965,-4.943434715270996,-4.007306098937988,0.0
36,ACH-000818,-97.9234390258789,-5.86680269241333,0.046875,-5.68725282876006,2.4591426849365234,-6.0,-3.1584584712982178,-3.2427139282226562,-2.9899470806121826,0.0
37,ACH-000828,-81.42789459228516,-5.751603126525879,0.09375,-5.6936878585366415,2.222452163696289,-6.0,-3.3504323959350586,-3.5175113677978516,-3.128901243209839,0.0
38,ACH-000849,-55.80720520019531,-5.586358070373535,0.21875,-5.682954879720331,1.5808560848236084,-6.0,-4.109067440032959,-4.830949306488037,-3.86253023147583,0.0
39,ACH-000856,-69.45809936523438,-5.825255393981934,0.078125,-5.6971849311464915,1.844275951385498,-6.0,-3.7632699012756348,-4.308893203735352,-3.5793440341949463,0.0
40,ACH-000857,-56.82876205444336,-5.62201452255249,0.203125,-5.689667890287092,1.629366159439087,-6.0,-4.139148712158203,-4.5699992179870605,-2.7287752628326416,0.0
41,ACH-000859,-59.571048736572266,-5.889078140258789,0.09375,-5.709608915284262,1.635238528251648,-6.0,-4.816831588745117,-5.147861003875732,-4.5552496910095215,0.0
42,ACH-000876,-61.95258712768555,-5.846294403076172,0.109375,-5.723277464063454,1.8070437908172607,-6.0,-4.594691753387451,-5.019573211669922,-3.616135835647583,0.0
43,ACH-000902,-52.11594772338867,-5.6181535720825195,0.203125,-5.71276507486536,1.636938214302063,-6.0,-4.120140075683594,-4.527979850769043,-3.4073705673217773,0.0
44,ACH-000910,-59.8143310546875,-5.849228382110596,0.09375,-5.726411405589884,1.7571715116500854,-6.0,-4.3917670249938965,-4.773906230926514,-4.2225751876831055,0.0
45,ACH-000927,-54.07744216918945,-5.823030948638916,0.125,-5.736073359894787,1.6714022159576416,-6.0,-4.58424711227417,-4.7189860343933105,-4.2744646072387695,0.0
46,ACH-000930,-51.66230010986328,-5.681239128112793,0.203125,-5.730589936716587,1.6677446365356445,-6.0,-4.4307169914245605,-4.888245105743408,-3.9151723384857178,0.0
47,ACH-000934,-50.73418045043945,-5.833835601806641,0.109375,-5.740914503225593,1.595711350440979,-6.0,-4.480784893035889,-5.017979621887207,-3.572249412536621,0.0
48,ACH-001390,-40.42192077636719,-5.73935604095459,0.1875,-5.7407586569984925,1.3281564712524414,-6.0,-4.609898567199707,-5.023116111755371,-4.04962682723999,0.0
49,ACH-001819,-48.41313934326172,-5.741666793823242,0.171875,-5.740849470680967,1.5769182443618774,-6.0,-4.496969699859619,-4.575802326202393,-4.3313164710998535,0.0
50,ACH-001820,-56.924381256103516,-5.828512191772461,0.140625,-5.749615742790116,1.8551194667816162,-6.0,-4.780529499053955,-5.186481475830078,-4.530097484588623,0.0
51,ACH-000017,-49.27393341064453,-5.731417655944824,0.15625,-5.7477959341055875,1.6717777252197266,-6.0,-4.2810750007629395,-4.874607086181641,-3.7551684379577637,0.0
52,ACH-000019,-52.07932662963867,-5.791913986206055,0.140625,-5.752207739315635,1.7635833024978638,-6.0,-4.520274639129639,-4.924432277679443,-4.3241424560546875,0.0
53,ACH-000044,-49.94520568847656,-5.568236351013184,0.1875,-5.7338106004853895,1.7401883602142334,-6.0,-3.697258710861206,-3.7894699573516846,-3.13564395904541,0.0
54,ACH-000097,-58.741580963134766,-5.791900634765625,0.140625,-5.739619603913413,1.8727169036865234,-6.0,-4.520182132720947,-5.4915242195129395,-3.921635866165161,0.0
55,ACH-000111,-42.45079803466797,-5.641665458679199,0.203125,-5.7298241893899915,1.4080843925476074,-6.0,-4.235891819000244,-4.700408458709717,-3.909311294555664,0.0
56,ACH-000117,-44.39189529418945,-5.801628112792969,0.15625,-5.7370045817302895,1.3774445056915283,-6.0,-4.730417728424072,-5.074944496154785,-4.6417341232299805,0.0
57,ACH-000147,-50.28437423706055,-5.713438987731934,0.171875,-5.734648022330454,1.62263822555542,-6.0,-4.332735538482666,-5.181596279144287,-2.5014092922210693,0.0
58,ACH-000148,-54.72596740722656,-5.8728837966918945,0.09375,-5.7484715997665985,1.722801923751831,-6.0,-4.644092559814453,-5.035228729248047,-4.5146260261535645,0.0
59,ACH-000196,-37.121307373046875,-5.377203464508057,0.265625,-5.711344786240744,1.306199073791504,-6.0,-3.655352830886841,-4.3002729415893555,-3.498134136199951,0.0
60,ACH-000212,-59.7413330078125,-5.807070255279541,0.140625,-5.720917333144624,1.7559492588043213,-6.0,-4.628055095672607,-5.147705078125,-4.014840602874756,0.0
61,ACH-000223,-58.594913482666016,-5.758202075958252,0.1875,-5.724645807425987,1.806854248046875,-6.0,-4.710411548614502,-4.97719669342041,-3.8397767543792725,0.0
62,ACH-000248,-51.49140167236328,-5.789128303527832,0.125,-5.731094057036171,1.5840710401535034,-6.0,-4.313027381896973,-4.886162281036377,-4.067816257476807,0.0
63,ACH-000258,-44.45967102050781,-5.587869167327881,0.15625,-5.716771568065342,1.4419145584106445,-6.0,-3.3623645305633545,-4.436351776123047,-3.0958642959594727,0.0
64,ACH-000276,-54.70014572143555,-5.770285129547119,0.15625,-5.72212292421352,1.63246488571167,-6.0,-4.529827117919922,-5.157947540283203,-3.9338200092315674,0.0
65,ACH-000277,-54.754119873046875,-5.592836380004883,0.25,-5.709194269792656,1.6805806159973145,-6.0,-4.371346950531006,-4.647027969360352,-3.4257657527923584,0.0
66,ACH-000288,-56.68559265136719,-5.647934913635254,0.21875,-5.7030683341769155,1.6646838188171387,-6.0,-4.390561580657959,-5.034789085388184,-3.379532814025879,0.0
67,ACH-000330,-59.73115539550781,-5.804948806762695,0.140625,-5.713256381435493,1.7029850482940674,-6.0,-4.612970352172852,-4.991362571716309,-4.37435245513916,0.0
68,ACH-000349,-60.1441535949707,-5.815251350402832,0.15625,-5.723455878332227,1.7858399152755737,-6.0,-4.8176069259643555,-5.2180562019348145,-4.009425640106201,0.0
69,ACH-000352,-48.89398956298828,-5.77009391784668,0.125,-5.728119682283673,1.519142746925354,-6.0,-4.1607513427734375,-4.301857948303223,-3.883453845977783,0.0
70,ACH-000374,-53.31463623046875,-5.6380815505981445,0.28125,-5.71911586911512,1.6860867738723755,-6.0,-4.713180065155029,-5.719969272613525,-3.7371468544006348,0.0
71,ACH-000536,-51.945735931396484,-5.848659515380859,0.109375,-5.732070233741695,1.5475417375564575,-6.0,-4.6163177490234375,-5.042370319366455,-4.014405727386475,0.0
72,ACH-000554,-39.14238739013672,-5.663510322570801,0.234375,-5.725214242624605,1.2820594310760498,-6.0,-4.5643110275268555,-4.970806121826172,-3.3245816230773926,0.0
73,ACH-000568,-58.84859085083008,-5.664555549621582,0.1875,-5.719148373324303,1.8223661184310913,-6.0,-4.210962295532227,-4.973567008972168,-3.6638050079345703,0.0
74,ACH-000573,-54.31565856933594,-5.605755805969238,0.234375,-5.707809116588796,1.6722683906555176,-6.0,-4.317891597747803,-4.727904796600342,-3.196709632873535,0.0
75,ACH-000621,-56.81290054321289,-5.692734718322754,0.21875,-5.706301676762192,1.6419919729232788,-6.0,-4.595359802246094,-5.209857940673828,-4.271200656890869,0.0
76,ACH-000624,-49.99162292480469,-5.667427062988281,0.171875,-5.702414215384801,1.4595937728881836,-6.0,-4.065029144287109,-5.015508651733398,-3.4541819095611572,0.0
77,ACH-000643,-54.35039520263672,-5.781739234924316,0.15625,-5.710346717338752,1.554825782775879,-6.0,-4.603132724761963,-4.988070011138916,-4.353572368621826,0.0
78,ACH-000668,-53.89459228515625,-5.717922210693359,0.1875,-5.711104266674213,1.5760102272033691,-6.0,-4.4955854415893555,-5.066219806671143,-3.7493534088134766,0.0
79,ACH-000691,-53.094146728515625,-5.715386390686035,0.15625,-5.711532479075395,1.5541443824768066,-6.0,-4.178475379943848,-4.546578884124756,-4.0776543617248535,0.0
