epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
20,ACH-000536,-402.639892578125,-408.95745849609375,5.76566219329834,0.5518882870674133,True,-9.581298828125,0.078125,-8.320856416842103,1.909605860710144,-10.0,-4.64061975479126,-5.152101993560791,-4.124195575714111,0.0
21,ACH-000554,-278.61480712890625,-284.6957702636719,5.521435737609863,0.5595239400863647,True,-9.09777545928955,0.171875,-8.398548321086848,1.4427402019500732,-10.0,-4.75069522857666,-5.056385040283203,-4.535921096801758,0.0
22,ACH-000568,-311.02764892578125,-317.40118408203125,5.8224101066589355,0.5511133670806885,True,-9.638687133789062,0.0625,-8.522562202357069,1.6613354682922363,-10.0,-4.218991756439209,-4.320643424987793,-3.9859957695007324,0.0
23,ACH-000573,-289.5505676269531,-295.7687072753906,5.676556587219238,0.5415980219841003,True,-9.46394157409668,0.09375,-8.61670013953103,1.6948966979980469,-10.0,-4.282038688659668,-4.559538841247559,-3.8515007495880127,0.0
24,ACH-000621,-259.56561279296875,-265.5068054199219,5.387735843658447,0.5534489154815674,True,-9.258723258972168,0.140625,-8.680902451475143,1.6500366926193237,-10.0,-4.728696346282959,-5.209857940673828,-4.271200656890869,0.0
25,ACH-000624,-215.36126708984375,-221.49586486816406,5.5912604331970215,0.5433339476585388,True,-9.157755851745605,0.140625,-8.72858779150219,1.4444530010223389,-10.0,-4.010708332061768,-4.492295742034912,-3.742800712585449,0.0
26,ACH-000643,-187.5874481201172,-193.41236877441406,5.273249626159668,0.5516650080680847,True,-9.298213005065918,0.125,-8.785550312858561,1.301762342453003,-10.0,-4.385702610015869,-5.040208339691162,-3.3833086490631104,0.0
27,ACH-000668,-252.8651580810547,-259.13323974609375,5.695016384124756,0.573061466217041,True,-9.590556144714355,0.078125,-8.86605089604414,1.8116419315338135,-10.0,-4.759117603302002,-5.066215515136719,-4.340824127197266,0.0
28,ACH-000691,-174.53749084472656,-180.56407165527344,5.468862533569336,0.5577132701873779,True,-9.285567283630371,0.125,-8.908002534802762,1.379712700843811,-10.0,-4.284539699554443,-4.990487098693848,-3.817582607269287,0.0
29,ACH-000699,-176.2100067138672,-182.61172485351562,5.816797733306885,0.5849213004112244,True,-9.223393440246582,0.140625,-8.939541625347145,1.4350181818008423,-10.0,-4.477468013763428,-4.991279602050781,-3.8176915645599365,0.0
30,ACH-000711,-182.95726013183594,-188.82928466796875,5.285827159881592,0.5861979126930237,True,-9.658666610717773,0.0625,-9.011454123884208,1.5131667852401733,-10.0,-4.538670539855957,-4.95794677734375,-3.602449893951416,0.0
31,ACH-000725,-165.93182373046875,-171.9139404296875,5.4459614753723145,0.5361599326133728,True,-9.397638320922852,0.109375,-9.050072543588072,1.4855570793151855,-10.0,-4.492692947387695,-5.0313720703125,-4.086406707763672,0.0
32,ACH-000755,-179.47772216796875,-185.56491088867188,5.529240608215332,0.5579534769058228,True,-9.097944259643555,0.15625,-9.05485971519362,1.690843939781189,-10.0,-4.226848125457764,-4.769468307495117,-3.4206900596618652,0.0
33,ACH-000759,-193.58023071289062,-199.6022491455078,5.470065116882324,0.5519518256187439,True,-9.661090850830078,0.0625,-9.115482828757266,1.7834587097167969,-10.0,-4.577455520629883,-4.638025760650635,-4.522066593170166,0.0
34,ACH-000768,-152.8936309814453,-159.03848266601562,5.5891947746276855,0.5556532144546509,True,-9.15749454498291,0.15625,-9.11968400037983,1.5387520790100098,-10.0,-4.607961177825928,-5.209752559661865,-3.9630181789398193,0.0
35,ACH-000783,-203.0580596923828,-208.87619018554688,5.2654948234558105,0.5526401996612549,True,-9.492961883544922,0.09375,-9.15701178869634,2.008049726486206,-10.0,-4.591596603393555,-5.215613842010498,-3.989656448364258,0.0
36,ACH-000818,-182.49227905273438,-188.99783325195312,5.92825984954834,0.5772948265075684,True,-9.35466480255127,0.09375,-9.176777090081831,1.9113309383392334,-10.0,-3.116422653198242,-3.242615222930908,-2.9487226009368896,0.0
37,ACH-000828,-160.98104858398438,-167.02122497558594,5.486205577850342,0.553972601890564,True,-9.480704307556152,0.078125,-9.207169811829264,1.7345609664916992,-10.0,-3.353015899658203,-3.624666452407837,-2.9764885902404785,0.0
38,ACH-000849,-113.10041046142578,-118.78971099853516,5.169417858123779,0.5198841691017151,True,-9.368468284606934,0.109375,-9.223299659107031,1.2859017848968506,-10.0,-4.2260003089904785,-4.740655422210693,-3.86253023147583,0.0
39,ACH-000856,-119.44180297851562,-125.180419921875,5.171811580657959,0.5668022632598877,True,-9.096745491027832,0.15625,-9.210644242299113,1.398017406463623,-10.0,-4.21917200088501,-5.143690586090088,-3.4514620304107666,0.0
40,ACH-000857,-140.1261444091797,-145.97987365722656,5.281003475189209,0.5727325081825256,True,-9.283872604370117,0.125,-9.217967078506213,1.616300344467163,-10.0,-4.270978927612305,-4.763634204864502,-3.819258213043213,0.0
41,ACH-000859,-110.07609558105469,-115.9592514038086,5.3223090171813965,0.5608495473861694,True,-9.117053031921387,0.15625,-9.207875673847731,1.3203959465026855,-10.0,-4.3491387367248535,-4.990062236785889,-3.981842517852783,0.0
42,ACH-000876,-140.4420623779297,-146.04855346679688,5.047122478485107,0.5593712329864502,True,-9.338184356689453,0.125,-9.220906542131903,1.589552879333496,-10.0,-4.705474853515625,-4.903553009033203,-4.134315490722656,0.0
43,ACH-000902,-118.63801574707031,-124.17131805419922,4.971025466918945,0.5622744560241699,True,-8.819718360900879,0.203125,-9.180787724008802,1.4333596229553223,-10.0,-4.189382076263428,-4.849865913391113,-3.758920669555664,0.0
44,ACH-000910,-119.59814453125,-125.12557983398438,4.953250408172607,0.5741876363754272,True,-8.843355178833008,0.203125,-9.147044469491222,1.3455854654312134,-10.0,-4.305747985839844,-4.6359124183654785,-3.8629016876220703,0.0
45,ACH-000927,-160.6410675048828,-166.66925048828125,5.433577060699463,0.5946119427680969,True,-9.141180992126465,0.15625,-9.146458121754748,1.685446858406067,-10.0,-4.503556728363037,-4.822658061981201,-3.5781712532043457,0.0
46,ACH-000930,-110.45698547363281,-115.9991226196289,4.956798553466797,0.5853416323661804,True,-9.047554016113281,0.171875,-9.136567711190601,1.1877940893173218,-10.0,-4.458495616912842,-5.062946796417236,-3.3796792030334473,0.0
47,ACH-000934,-116.18850708007812,-121.82056427001953,5.074011325836182,0.5580489635467529,True,-9.113344192504883,0.15625,-9.13424535932203,1.211744785308838,-10.0,-4.32539701461792,-4.910057544708252,-3.8958423137664795,0.0
48,ACH-001390,-228.83477783203125,-235.94480895996094,6.467302322387695,0.6427267789840698,True,-10.0,0.0,-9.220820823389827,2.2847721576690674,-10.0,nan,nan,nan,nan
49,ACH-001819,-121.75049591064453,-127.31700134277344,5.006537914276123,0.5599677562713623,True,-8.92625617980957,0.1875,-9.191364359031802,1.4040628671646118,-10.0,-4.273364067077637,-4.575802326202393,-3.7747035026550293,0.0
50,ACH-001820,-131.1429901123047,-136.54550170898438,4.845660209655762,0.5568547248840332,True,-9.757049560546875,0.046875,-9.24793287918331,1.45585036277771,-10.0,-4.817060470581055,-5.186350345611572,-4.275951385498047,0.0
51,ACH-000017,-127.07425689697266,-132.20547485351562,4.596485614776611,0.5347319841384888,True,-8.730673789978027,0.21875,-9.196206970262782,1.5255870819091797,-10.0,-4.197364807128906,-4.874607086181641,-3.3855385780334473,0.0
52,ACH-000019,-127.67750549316406,-133.47042846679688,5.254952907562256,0.5379729270935059,True,-9.390880584716797,0.109375,-9.215674331708183,1.415849208831787,-10.0,-4.43090295791626,-5.071116924285889,-2.9467709064483643,0.0
53,ACH-000044,-156.9689483642578,-163.01736450195312,5.4705047607421875,0.5779159069061279,True,-9.395597457885742,0.09375,-9.23366664432594,1.7781063318252563,-10.0,-3.553036689758301,-3.984663486480713,-3.135636329650879,0.0
