smi_51	OCCN(Cc1ccc(cc1)C=CC(=O)NO)CCc1c[nH]c2c1cccc2
smi_52	COc1cc(N2CCC(CC2)N2CCN(CC2)S(=O)(=O)C)c(cc1Nc1nccc(n1)c1c(nc2n1cccc2)c1ccc(c(c1)C(=O)Nc1c(F)cccc1F)OC)CC
smi_53	NCCNc1nc2ccc(cc2n2c1ncc2C)C.Cl
smi_54	N#CCC(n1ncc(c1)c1ncnc2c1cc[nH]2)C1CCCC1
smi_55	N#CC(c1nc2c(s1)cccc2)c1ccnc(n1)NCCc1cccnc1
smi_56	CS(=O)(=O)O.NCCCN(C(c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1)C(C)C)C(=O)c1ccc(cc1)C
smi_57	O=C(c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl)NC1CCNCC1
smi_58	CCc1nc(c(s1)c1ccnc(c1)NC(=O)c1ccccc1)c1cccc(c1)C
smi_59	O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCc1cnc[nH]1)Br
smi_60	FC(c1nc2c(n1c1nc(nc(n1)N1CCOCC1)N1CCOCC1)cccc2)F
smi_61	O=C1NC(=O)C(=Cc2ccc3c(c2)nccn3)S1
smi_62	CCn1nc(c(c1)c1ccnc2c1cc([nH]2)c1cccc(c1)CN(C)C)c1ccc(cc1)NC(=O)N(C)C
smi_63	O=C1NC(=O)C(=C1c1cn(c2c1cccc2)C1CCN(CC1)Cc1ccccn1)c1cn(c2c1cccc2)C
smi_64	O=C1NC(=C(C(C1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc2cn[nH]c2cc1F)C
smi_65	OCCCn1c(C(=O)CF)c(c2c1ncnc2N)c1ccc(cc1)C
smi_66	C=CC(=O)N1CCc2c1cc(cc2)n1c(=O)ccc2c1c1cc(ccc1nc2)c1cnn(c1)C
smi_67	Nc1ncnc2c1ncn2Cc1nc2cccc(c2c(=O)n1c1ccccc1C)C
smi_68	CCC(c1nc2cccc(c2c(=O)n1c1ccccc1)F)Nc1ncnc2c1[nH]cn2
smi_69	COc1cc2c(ccnc2cc1OC)Oc1ccc(cc1)NC(=O)C1(CC1)C(=O)Nc1ccc(cc1)F
smi_70	C=CC(=O)Nc1cccc(c1)Nc1nc(NC2CCC(CC2)N(C)C)nc2c1ncn2C(C)C
smi_71	COc1cc(ccc1Nc1nc(c(s1)C(=O)c1c(Cl)cccc1Cl)N)N1CCN(CC1)C
smi_72	O=C(Nc1noc(c1)C(C)(C)C)Nc1ccc(cc1)c1cn2c(n1)sc1c2ccc(c1)OCCN1CCOCC1
smi_73	COCC(=O)NCC=Cc1ccc2c(c1)c(ncn2)Nc1ccc(c(c1)C)Oc1ccc(nc1)C
smi_74	COc1cc(OC)cc(c1)c1ccc2c(c1)c1c(cn2)ccc(=O)n1c1ccc(c(c1)C(F)(F)F)N1CCNCC1
smi_75	Cc1cccc(c1)Nc1scc(n1)c1ccncc1
smi_76	OCC(c1cccc(c1)Cl)NC(=O)c1[nH]cc(c1)c1nc(ncc1C)Nc1ccc(cc1Cl)F
smi_77	Nc1[nH]nc2c1cc(nn2)c1c(nn2c1cccc2)c1ccccc1
smi_78	ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1
smi_79	ONC(=O)c1ccc(cc1)Cn1c2ccccc2c2c1CCN(C2)C
smi_80	COc1nc(C)cnc1NS(=O)(=O)c1cccnc1c1ccc(cc1)c1nnco1
smi_81	CN1CCN(CC1)c1ccc(c2c1[n+]([O-])on2)[N+](=O)[O-]
smi_82	CCCC(=O)OCc1ccc(cc1)OC(=O)/C=C(/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C)\C
smi_83	ONC(=O)c1ccc(cc1)NC(=O)C(c1ccccc1)C(C)C
smi_84	ONC(=O)CCCCCCOc1cc2c(ncnc2cc1OC)Nc1cccc(c1)C#C
smi_85	ONC(=O)C=Cc1cccc(c1)S(=O)(=O)Nc1ccccc1
smi_86	CCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC
smi_87	ONC(=O)CCCCCCNC(=O)c1noc(c1)c1ccc(cc1)NC(=O)OC(C)(C)C
smi_88	O=C(Nc1cc(C)ccc1F)Nc1ccc(cc1)c1cccc2c1c(N)n[nH]2
smi_89	CN(Cc1cccc(c1)N=C(c1c(O)[nH]c2c1ccc(c2)C(=O)N(C)C)c1ccccc1)C
smi_90	CCc1cc2C(=O)c3c4ccc(cc4[nH]c3C(c2cc1N1CCC(CC1)N1CCOCC1)(C)C)C#N
smi_91	CCOc1cc2ncc(c(c2cc1NC(=O)C=CCN(C)C)Nc1ccc(c(c1)Cl)F)C#N
smi_92	COc1ncc(cc1NS(=O)(=O)c1ccc(cc1F)F)c1ccc2c(c1)c(ccn2)c1ccnnc1
smi_93	Cn1ncc(c1)c1ccc2n(n1)c(nn2)C(c1ccc2c(c1)cccn2)(F)F
smi_94	CN1CCN(CC1)C(=O)c1c(C)[nH]c(c1C)C=C1C(=O)Nc2c1cc(cc2)S(=O)(=O)N(c1cccc(c1)Cl)C
smi_95	O=C(c1cccn(c1=O)Cc1ccc(c(c1)F)F)N[C@H](c1ccccc1)COc1ccc2c(c1)[nH]c(=O)[nH]2
smi_96	COc1cc2c(ncnc2cc1OC)Nc1cc(Br)c(c(c1)Br)O
smi_97	Ic1cccc(c1)CSc1nnc(o1)c1ccncc1
smi_98	N#Cc1c(N)nc(cc1C1CCNCC1)c1c(O)cccc1OCC1CC1
smi_99	CCN1CCC(CC1)n1nnc(c1)CNc1cc(Cl)c2c(c1)c(Nc1ccc(c(c1)Cl)F)c(cn2)C#N
smi_100	CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1scc(n1)c1cccnc1)C
