epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,mean_reward_penalized,lambda_div,batch_uniqueness,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-986.2400512695312,-992.8026123046875,6.013729095458984,0.5488321781158447,True,-4.943277359008789,-4.952652931213379,0.1,0.7142857142857143,0.109375,-0.49526529312133777,1.6631983518600464,-5.0,-4.481395721435547,-5.2233381271362305,-4.197456359863281,0.1428571492433548
2,ACH-000044,-1147.6260986328125,-1154.5206298828125,6.335821151733398,0.5587241649627686,True,-4.8205647468566895,-4.833065032958984,0.1,0.625,0.125,-0.9290452671051024,2.1458840370178223,-5.0,-3.5645179748535156,-3.7894699573516846,-3.2612500190734863,0.0
3,ACH-000097,-680.57666015625,-687.111328125,5.981207847595215,0.5534636378288269,True,-4.991137504577637,-4.991137504577637,0.1,1.0,0.0625,-1.3352544908523558,1.4114701747894287,-5.0,-4.8581953048706055,-5.209224700927734,-4.4828715324401855,0.5
4,ACH-000111,-628.9739379882812,-635.3954467773438,5.869487762451172,0.5520496368408203,True,-4.962162017822266,-4.962162017822266,0.1,1.0,0.0625,-1.6979452435493467,1.4416958093643188,-5.0,-4.394596576690674,-4.745954513549805,-4.1566691398620605,0.0
5,ACH-000117,-545.6528930664062,-551.737060546875,5.545312404632568,0.5388613343238831,True,-4.948473930358887,-4.95159912109375,0.1,0.8333333333333334,0.09375,-2.023310631303787,1.4109370708465576,-5.0,-4.450390815734863,-4.641740322113037,-4.010507106781006,0.0
6,ACH-000147,-680.4000854492188,-687.1119384765625,6.135253429412842,0.5765699148178101,True,-4.987607955932617,-4.9907331466674805,0.1,0.6666666666666666,0.046875,-2.320052882840156,1.9651000499725342,-5.0,-4.735633850097656,-4.89527702331543,-4.416347503662109,0.0
7,ACH-000148,-675.2918090820312,-681.64501953125,5.812007427215576,0.5412312746047974,True,-4.945067405700684,-4.948192596435547,0.1,0.8333333333333334,0.09375,-2.582866854199695,2.1265487670898438,-5.0,-4.414053440093994,-4.802177429199219,-3.7960166931152344,0.0
8,ACH-000196,-456.07586669921875,-462.48291015625,5.838293075561523,0.5687379837036133,True,-4.844074726104736,-4.8471999168396,0.1,0.8888888888888888,0.140625,-2.809300160463686,1.6067527532577515,-5.0,-3.89119815826416,-5.085062026977539,-3.4596805572509766,0.1111111119389534
9,ACH-000212,-438.1531982421875,-444.66571044921875,5.921977519989014,0.5905426740646362,True,-4.977791786193848,-4.977791786193848,0.1,1.0,0.09375,-3.026149323036702,1.691461443901062,-5.0,-4.763110160827637,-5.147714614868164,-4.283939838409424,0.1666666716337204
10,ACH-000223,-405.38800048828125,-411.7221374511719,5.771907329559326,0.5622159242630005,True,-4.937582015991211,-4.940707206726074,0.1,0.8888888888888888,0.140625,-3.217605111405639,1.7666370868682861,-5.0,-4.556138038635254,-4.97719669342041,-3.7810568809509277,0.0
