epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,mean_reward_penalized,lambda_div,tanimoto_threshold,batch_uniqueness,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-1186.49853515625,-1192.881591796875,5.81282901763916,0.570178747177124,True,-4.921152114868164,-4.971152305603027,0.1,0.65,0.45454545454545453,0.171875,-0.4971152305603026,1.993282437324524,-5.0,-4.541250705718994,-5.036343574523926,-4.3241424560546875,0.09090909361839294
2,ACH-000044,-1016.3192749023438,-1023.2777099609375,6.382016658782959,0.5764175653457642,True,-4.810905456542969,-4.8202805519104,0.1,0.65,0.7777777777777778,0.140625,-0.9294317626953122,1.896561622619629,-5.0,-3.655327796936035,-4.217846870422363,-3.13564395904541,0.0
3,ACH-000097,-674.3060302734375,-680.9974975585938,6.106810092926025,0.5846333503723145,True,-4.95913028717041,-4.95913028717041,0.1,0.65,1.0,0.09375,-1.332401615142822,1.3956701755523682,-5.0,-4.564060211181641,-4.978997230529785,-4.094651699066162,0.0
4,ACH-000111,-624.8314208984375,-630.8827514648438,5.489771366119385,0.5615304112434387,True,-4.901716232299805,-4.911091327667236,0.1,0.65,0.7,0.15625,-1.6902705863952634,1.437502384185791,-5.0,-4.370985984802246,-5.336719989776611,-3.4407734870910645,0.10000000149011612
5,ACH-000117,-638.9759521484375,-645.328125,5.785872936248779,0.5662890672683716,True,-4.949124336242676,-4.952249526977539,0.1,0.65,0.8571428571428571,0.109375,-2.016468480453491,1.6377434730529785,-5.0,-4.534853935241699,-4.894291877746582,-3.8037734031677246,0.0
6,ACH-000147,-591.3174438476562,-597.856201171875,6.002350330352783,0.5363802909851074,True,-4.965146541595459,-4.965146541595459,0.1,0.65,1.0,0.09375,-2.3113362865676876,1.6848745346069336,-5.0,-4.628230094909668,-5.181601524353027,-3.943264961242676,0.1666666716337204
7,ACH-000148,-582.7387084960938,-589.2266845703125,5.951940536499023,0.536044716835022,True,-4.985104084014893,-4.991353988647461,0.1,0.65,0.6666666666666666,0.09375,-2.579338056775665,1.838306188583374,-5.0,-4.841109275817871,-5.201480865478516,-4.5146260261535645,0.5
8,ACH-000196,-492.14190673828125,-498.4519958496094,5.736950397491455,0.573145866394043,True,-4.822758197784424,-4.825883388519287,0.1,0.65,0.9166666666666666,0.1875,-2.803992589950027,1.74735689163208,-5.0,-4.05471134185791,-4.855049133300781,-3.5166068077087402,0.0
9,ACH-000212,-432.01824951171875,-438.4352722167969,5.858880043029785,0.5581383109092712,True,-4.958122730255127,-4.96124792098999,0.1,0.65,0.875,0.125,-3.019718123054023,1.6654661893844604,-5.0,-4.664980888366699,-5.147705078125,-3.930311918258667,0.25
10,ACH-000223,-288.8976135253906,-295.1728515625,5.702729225158691,0.5724993944168091,True,-4.965136528015137,-4.965136528015137,0.1,0.65,1.0,0.078125,-3.2142599635501345,1.2682538032531738,-5.0,-4.553746700286865,-4.94368839263916,-4.157334327697754,0.0
11,ACH-000248,-355.1875,-361.6021728515625,5.862778186798096,0.5518810749053955,True,-4.907677173614502,-4.910801887512207,0.1,0.65,0.8888888888888888,0.140625,-3.383914155946342,1.6922889947891235,-5.0,-4.343479633331299,-4.86456823348999,-3.711642026901245,0.0
12,ACH-000258,-272.5729064941406,-278.9403076171875,5.795263767242432,0.5721492767333984,True,-4.935915946960449,-4.935915946960449,0.1,0.65,1.0,0.0625,-3.5391143350477527,1.4409942626953125,-5.0,-3.97465181350708,-4.596166133880615,-3.166243076324463,0.0
13,ACH-000276,-231.1908416748047,-237.41326904296875,5.642270565032959,0.5801578760147095,True,-4.937465190887451,-4.937465190887451,0.1,0.65,1.0,0.140625,-3.6789494206317226,1.3830530643463135,-5.0,-4.5553083419799805,-5.157947540283203,-3.9338200092315674,0.2222222238779068
14,ACH-000277,-224.02549743652344,-230.42784118652344,5.834559440612793,0.5677779912948608,True,-4.892538070678711,-4.898787975311279,0.1,0.65,0.8,0.15625,-3.8009332760996783,1.4900568723678589,-5.0,-4.312244892120361,-4.608165264129639,-3.8693273067474365,0.0
15,ACH-000288,-219.05038452148438,-225.3587188720703,5.749399662017822,0.5589378476142883,True,-4.96248722076416,-4.965612411499023,0.1,0.65,0.8,0.078125,-3.917401189639613,1.5849636793136597,-5.0,-4.519839763641357,-5.034789085388184,-4.053747653961182,0.20000000298023224
16,ACH-000330,-181.58160400390625,-187.62347412109375,5.4761128425598145,0.5657556056976318,True,-4.9156951904296875,-4.918820381164551,0.1,0.65,0.8888888888888888,0.140625,-4.017543108792107,1.4849878549575806,-5.0,-4.400500774383545,-4.753240585327148,-3.922253131866455,0.0
17,ACH-000349,-181.35043334960938,-187.42156982421875,5.512567520141602,0.5585648417472839,True,-4.983199596405029,-4.983199596405029,0.1,0.65,1.0,0.046875,-4.1141087575533986,1.6093060970306396,-5.0,-4.641589641571045,-4.9670915603637695,-4.259765625,0.0
18,ACH-000352,-124.60602569580078,-130.95140075683594,5.763291358947754,0.5820844769477844,True,-4.877670764923096,-4.880795478820801,0.1,0.65,0.875,0.125,-4.190777429680138,1.2380883693695068,-5.0,-4.021366596221924,-4.596168518066406,-3.3136777877807617,0.0
19,ACH-000374,-117.02265930175781,-123.15581512451172,5.5536346435546875,0.5795206427574158,True,-4.944693565368652,-4.947818279266357,0.1,0.65,0.8,0.078125,-4.26648151463876,1.2734129428863525,-5.0,-4.292076110839844,-4.459565162658691,-3.967336654663086,0.0
20,ACH-000536,-133.0096435546875,-139.0033721923828,5.438187599182129,0.5555367469787598,True,-4.930904388427734,-4.930904388427734,0.1,0.65,1.0,0.15625,-4.332923802017658,1.6182911396026611,-5.0,-4.557787895202637,-5.152092933654785,-3.8353047370910645,0.20000000298023224
