epoch,ach_id,loss,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-635.5396728515625,-3.2095282077789307,0.140625,-0.320952820777893,1.7593846321105957,-3.0,-4.489978313446045,-5.036343574523926,-3.998394250869751,1.0
2,ACH-000044,-668.4712524414062,-3.075805902481079,0.109375,-0.5964381289482116,2.0912656784057617,-3.0,-3.693082332611084,-3.7894697189331055,-3.471472978591919,1.0
3,ACH-000097,-510.5721130371094,-3.1960625648498535,0.109375,-0.8564005725383758,1.7652161121368408,-3.0,-4.792572021484375,-5.209274768829346,-4.505903720855713,1.0
4,ACH-000111,-408.67010498046875,-3.2341623306274414,0.171875,-1.0941767483472822,1.5740299224853516,-3.0,-4.362400054931641,-4.838841915130615,-3.5371785163879395,1.0
5,ACH-000117,-379.4384765625,-3.293212890625,0.171875,-1.314080362575054,1.6973074674606323,-3.0,-4.705965995788574,-4.952988624572754,-4.365718841552734,1.0
6,ACH-000147,-326.9568176269531,-3.308352470397949,0.1875,-1.5135075733573433,1.6325633525848389,-3.0,-4.6445465087890625,-5.181596279144287,-3.900622606277466,1.0
7,ACH-000148,-329.788818359375,-3.241331100463867,0.140625,-1.6862899260679958,1.8601889610290527,-3.0,-4.716132164001465,-5.201488971710205,-4.087574005126953,1.0
8,ACH-000196,-255.24575805664062,-3.074106216430664,0.109375,-1.8250715551042624,1.639021396636963,-3.0,-3.6775412559509277,-4.3002729415893555,-3.4981346130371094,1.0
9,ACH-000212,-276.4784851074219,-3.2138309478759766,0.125,-1.9639474943814337,1.9434702396392822,-3.0,-4.7106475830078125,-5.147705078125,-4.220802307128906,1.0
10,ACH-000223,-240.4794464111328,-3.1563527584075928,0.09375,-2.08318802078405,1.9614148139953613,-3.0,-4.6677632331848145,-4.921518325805664,-4.559545516967773,1.0
11,ACH-000248,-177.24160766601562,-3.286573886871338,0.25,-2.2035266073927784,1.6008504629135132,-3.0,-4.146294593811035,-4.528453826904297,-3.242990016937256,1.0
12,ACH-000258,-160.4097900390625,-3.083461284637451,0.1875,-2.2915200751172455,1.6746622323989868,-3.0,-3.4451255798339844,-4.742382049560547,-3.1662211418151855,1.0
13,ACH-000276,-140.0131072998047,-3.2910451889038086,0.1875,-2.391472586495902,1.6518033742904663,-3.0,-4.552241325378418,-4.937499046325684,-4.127589225769043,1.0
14,ACH-000277,-139.6947784423828,-3.2415409088134766,0.171875,-2.476479418727659,1.9220054149627686,-3.0,-4.405328273773193,-4.608165264129639,-3.9006388187408447,1.0
15,ACH-000288,-99.35527801513672,-3.1572611331939697,0.09375,-2.54455759017429,1.5892541408538818,-3.0,-4.67745304107666,-5.034789085388184,-4.24587345123291,1.0
16,ACH-000330,-89.78274536132812,-3.163357734680176,0.109375,-2.6064376046248787,1.6727253198623657,-3.0,-4.493556976318359,-4.991362571716309,-4.37435245513916,1.0
17,ACH-000349,-94.8299789428711,-3.1245198249816895,0.078125,-2.65824582666056,2.020035982131958,-3.0,-4.5938544273376465,-5.019832134246826,-4.487360000610352,1.0
18,ACH-000352,-89.7433090209961,-3.1307883262634277,0.109375,-2.7055000766208464,2.2101893424987793,-3.0,-4.195777893066406,-4.301857948303223,-4.009791851043701,1.0
19,ACH-000374,-54.3425178527832,-3.144021987915039,0.09375,-2.749352267750266,1.551254391670227,-3.0,-4.53623628616333,-4.942229747772217,-4.153618335723877,1.0
20,ACH-000536,-51.0010986328125,-3.2495484352111816,0.15625,-2.7993718844963578,1.7163760662078857,-3.0,-4.597109317779541,-5.152092933654785,-4.430405139923096,1.0
21,ACH-000554,-42.896095275878906,-3.260303020477295,0.15625,-2.8454649980944513,1.788321852684021,-3.0,-4.665938854217529,-5.056385040283203,-4.471846580505371,1.0
22,ACH-000568,-39.94173049926758,-3.0728399753570557,0.0625,-2.8682024958207117,2.1524810791015625,-3.0,-4.165437698364258,-4.320643424987793,-3.9859957695007324,1.0
23,ACH-000573,-30.18732261657715,-3.2080774307250977,0.140625,-2.9021899893111502,1.8839428424835205,-3.0,-4.47966194152832,-4.559545040130615,-4.308737754821777,1.0
24,ACH-000621,-17.97852325439453,-3.3040947914123535,0.203125,-2.9423804695212703,1.4495391845703125,-3.0,-4.4970831871032715,-5.209857940673828,-3.9938273429870605,1.0
25,ACH-000624,-12.49261474609375,-3.089935302734375,0.109375,-2.957135952842581,1.7677974700927734,-3.0,-3.8222663402557373,-4.319440841674805,-3.4541819095611572,1.0
26,ACH-000643,-9.718648910522461,-3.2197866439819336,0.125,-2.9834010219565164,1.7406789064407349,-3.0,-4.758294582366943,-5.186069965362549,-4.278295516967773,1.0
27,ACH-000668,-3.913034200668335,-3.159905195236206,0.109375,-3.0010514392844856,1.7559901475906372,-3.0,-4.4619903564453125,-5.066220283508301,-3.7773237228393555,1.0
28,ACH-000691,-0.3850076496601105,-3.1231260299682617,0.09375,-3.013258898352863,1.8405978679656982,-3.0,-4.313345909118652,-4.817564487457275,-4.077646732330322,1.0
29,ACH-000699,1.4838042259216309,-3.320167064666748,0.1875,-3.043949714984252,1.5308902263641357,-3.0,-4.707557678222656,-5.015292167663574,-4.390990257263184,1.0
30,ACH-000711,8.75905990600586,-3.1746084690093994,0.125,-3.057015590386767,1.7650771141052246,-3.0,-4.396866321563721,-5.183089733123779,-3.3715360164642334,1.0
31,ACH-000725,11.808927536010742,-3.164571762084961,0.09375,-3.067771207556586,1.8424897193908691,-3.0,-4.755431175231934,-5.088707447052002,-4.2861528396606445,1.0
32,ACH-000755,16.559829711914062,-3.1523656845092773,0.09375,-3.0762306552518552,2.1003143787384033,-3.0,-4.625231742858887,-4.882122039794922,-4.28864049911499,1.0
33,ACH-000759,17.89593505859375,-3.0749704837799072,0.046875,-3.0761046381046606,1.9777958393096924,-3.0,-4.599372863769531,-4.638025760650635,-4.522066593170166,1.0
34,ACH-000768,18.19459342956543,-3.1879453659057617,0.109375,-3.0872887108847706,2.0566248893737793,-3.0,-4.718357086181641,-4.986020088195801,-4.447256088256836,1.0
35,ACH-000783,22.133840560913086,-3.1382675170898438,0.09375,-3.092386591505278,2.154956340789795,-3.0,-4.474850654602051,-4.943447589874268,-4.007308006286621,1.0
36,ACH-000818,28.069093704223633,-3.00742769241333,0.046875,-3.0838907015960833,2.538118362426758,-3.0,-3.1584584712982178,-3.2427139282226562,-2.9899470806121826,0.6666666865348816
37,ACH-000828,23.17512321472168,-3.0247669219970703,0.078125,-3.0779783236361817,2.353069305419922,-3.0,-3.317017078399658,-3.5175113677978516,-3.128901243209839,1.0
38,ACH-000849,15.92435073852539,-3.1722466945648193,0.15625,-3.0874051607290456,1.8025997877120972,-3.0,-4.10237979888916,-4.830949306488037,-3.86253023147583,1.0
39,ACH-000856,17.725364685058594,-3.051572561264038,0.078125,-3.083821900782545,1.7199649810791016,-3.0,-3.660128116607666,-3.7931833267211914,-3.5793442726135254,1.0
40,ACH-000857,15.885682106018066,-3.2227048873901367,0.1875,-3.0977101994433043,1.6732120513916016,-3.0,-4.187758922576904,-4.680481433868408,-2.7287752628326416,0.9166666865348816
41,ACH-000859,20.71973991394043,-3.1451525688171387,0.078125,-3.102454436380688,1.8380229473114014,-3.0,-4.857953071594238,-5.147861480712891,-4.555249214172363,1.0
42,ACH-000876,24.410512924194336,-3.0891640186309814,0.0625,-3.1011253946057176,2.025101661682129,-3.0,-4.4266252517700195,-4.781374931335449,-3.6160905361175537,1.0
43,ACH-000902,22.341611862182617,-3.1360630989074707,0.125,-3.104619165035893,1.896071434020996,-3.0,-4.088504791259766,-4.447488784790039,-3.4073708057403564,1.0
44,ACH-000910,24.55268096923828,-3.0198898315429688,0.015625,-3.0961462316866006,1.981341004371643,-3.0,-4.272940635681152,-4.272940635681152,-4.272940635681152,1.0
45,ACH-000927,18.511396408081055,-3.1709234714508057,0.109375,-3.103623955663021,1.6791203022003174,-3.0,-4.562728404998779,-4.7189860343933105,-4.266010761260986,1.0
46,ACH-000930,21.407318115234375,-3.2081222534179688,0.140625,-3.114073785438516,1.7936187982559204,-3.0,-4.479981422424316,-4.888245105743408,-3.9151723384857178,1.0
47,ACH-000934,27.180753707885742,-3.0854616165161133,0.0625,-3.111212568546276,2.0266222953796387,-3.0,-4.367383003234863,-5.018263339996338,-3.5722908973693848,1.0
48,ACH-001390,20.947175979614258,-3.1522717475891113,0.09375,-3.1153184864505596,1.6291059255599976,-3.0,-4.624232292175293,-4.780257225036621,-4.492499351501465,1.0
49,ACH-001819,26.758708953857422,-3.1415159702301025,0.09375,-3.1179382348285136,1.9775245189666748,-3.0,-4.509503364562988,-4.575829029083252,-4.402674198150635,1.0
50,ACH-001820,28.52773094177246,-3.1444997787475586,0.078125,-3.120594389220418,2.0718536376953125,-3.0,-4.8495988845825195,-5.186481952667236,-4.530097007751465,1.0
51,ACH-000017,28.056962966918945,-3.1185860633850098,0.09375,-3.120393556636877,1.9631526470184326,-3.0,-4.264918327331543,-4.874599933624268,-3.7551674842834473,1.0
52,ACH-000019,27.369522094726562,-3.10136079788208,0.0625,-3.1184902807613972,1.9357848167419434,-3.0,-4.621771335601807,-4.924569606781006,-4.324240684509277,1.0
53,ACH-000044,29.65676498413086,-3.0669379234313965,0.09375,-3.113335045028397,2.131955146789551,-3.0,-3.714003562927246,-3.789454221725464,-3.3367507457733154,1.0
54,ACH-000097,28.127939224243164,-3.120266914367676,0.078125,-3.114028231962325,2.127559185028076,-3.0,-4.5394182205200195,-4.722363471984863,-4.457019805908203,1.0
55,ACH-000111,23.045808792114258,-3.0807719230651855,0.0625,-3.1107026010726115,1.7397570610046387,-3.0,-4.292351245880127,-4.571075439453125,-4.175950527191162,1.0
56,ACH-000117,22.743715286254883,-3.109694480895996,0.0625,-3.11060178905495,1.719569206237793,-3.0,-4.755110740661621,-4.952859878540039,-4.641780376434326,1.0
57,ACH-000147,25.061437606811523,-3.1473610401153564,0.09375,-3.114277714160991,1.9209723472595215,-3.0,-4.571850776672363,-5.181601524353027,-4.416412353515625,1.0
58,ACH-000148,28.676485061645508,-3.047330856323242,0.03125,-3.107583028377216,2.116213321685791,-3.0,-4.514586925506592,-4.514586925506592,-4.514586925506592,1.0
59,ACH-000196,22.708084106445312,-3.0798773765563965,0.140625,-3.104812463195134,1.787205457687378,-3.0,-3.5680160522460938,-3.8124656677246094,-3.5166070461273193,1.0
60,ACH-000212,24.612947463989258,-3.108212471008301,0.0625,-3.1051524639764505,2.018679618835449,-3.0,-4.73140287399292,-5.147800922393799,-4.555174350738525,1.0
61,ACH-000223,23.553556442260742,-3.1814780235290527,0.109375,-3.1127850199317106,1.9441767930984497,-3.0,-4.659228801727295,-4.968484401702881,-3.8397767543792725,1.0
62,ACH-000248,23.73270034790039,-3.1028311252593994,0.078125,-3.111789630464479,1.8142729997634888,-3.0,-4.3162384033203125,-4.886165142059326,-4.067829132080078,1.0
63,ACH-000258,28.207536697387695,-3.0248866081237793,0.078125,-3.1030993282304093,2.1469945907592773,-3.0,-3.3185479640960693,-3.885812282562256,-3.0958573818206787,1.0
64,ACH-000276,22.938833236694336,-3.126326322555542,0.078125,-3.1054220276629225,1.8951245546340942,-3.0,-4.616976737976074,-5.0187907218933105,-4.397933006286621,1.0
65,ACH-000277,24.976852416992188,-3.2166800498962402,0.140625,-3.1165478298862546,2.019709348678589,-3.0,-4.540834903717041,-4.647027969360352,-4.077880382537842,1.0
66,ACH-000288,28.33236312866211,-3.1417064666748047,0.09375,-3.1190636935651095,2.095045566558838,-3.0,-4.511535167694092,-4.6232805252075195,-4.323312759399414,1.0
67,ACH-000330,28.41974449157715,-3.0999057292938232,0.0625,-3.117147897137981,2.015348434448242,-3.0,-4.598492622375488,-4.991306781768799,-4.374306678771973,1.0
68,ACH-000349,26.82059097290039,-3.124650001525879,0.078125,-3.1178981075767704,1.962782859802246,-3.0,-4.595522403717041,-5.218058109283447,-4.009425163269043,1.0
69,ACH-000352,30.07965660095215,-3.051837921142578,0.046875,-3.111292088933351,2.1597301959991455,-3.0,-4.105877876281738,-4.3018107414245605,-4.0060882568359375,1.0
70,ACH-000374,23.521440505981445,-3.2641005516052246,0.140625,-3.1265729352005387,1.9067507982254028,-3.0,-4.878050327301025,-5.719969272613525,-4.449821472167969,1.0
71,ACH-000536,27.991561889648438,-3.07283353805542,0.046875,-3.1211989954860266,1.8435006141662598,-3.0,-4.553778648376465,-4.553778648376465,-4.553778648376465,1.0
72,ACH-000554,24.056047439575195,-3.184107780456543,0.109375,-3.127489873983078,1.7159383296966553,-3.0,-4.683271884918213,-4.97080659866333,-4.191416263580322,1.0
73,ACH-000568,35.49541473388672,-3.060354709625244,0.046875,-3.120776357547295,2.3345253467559814,-3.0,-4.287566184997559,-4.320643901824951,-4.221409320831299,1.0
74,ACH-000573,29.654184341430664,-3.10953426361084,0.09375,-3.1196521481536497,2.09346342086792,-3.0,-4.168366432189941,-4.559538841247559,-3.196707248687744,1.0
75,ACH-000621,30.52910614013672,-3.1586694717407227,0.09375,-3.123553880512357,2.2064385414123535,-3.0,-4.692473411560059,-5.096818447113037,-4.271205425262451,1.0
76,ACH-000624,31.225072860717773,-3.0578999519348145,0.046875,-3.1169884876546026,2.147515296936035,-3.0,-4.235196113586426,-4.854515075683594,-3.8098912239074707,1.0
77,ACH-000643,25.265588760375977,-3.147116184234619,0.09375,-3.120001257312604,1.8621705770492554,-3.0,-4.56923770904541,-5.186069488525391,-3.9439473152160645,1.0
78,ACH-000668,27.79573631286621,-3.1542463302612305,0.109375,-3.1234257646074663,1.9825721979141235,-3.0,-4.410251140594482,-5.066220283508301,-3.7493534088134766,1.0
79,ACH-000691,30.936159133911133,-3.081145763397217,0.0625,-3.1191977644864415,2.119459629058838,-3.0,-4.298335075378418,-4.546727657318115,-4.077728271484375,1.0
80,ACH-000699,31.191858291625977,-3.122849941253662,0.078125,-3.1195629821631634,2.208259105682373,-3.0,-4.5724778175354,-4.6178483963012695,-4.390994071960449,1.0
81,ACH-000711,29.55535888671875,-3.051812171936035,0.03125,-3.1127879011404502,2.071763277053833,-3.0,-4.657989501953125,-4.897216796875,-4.41876220703125,1.0
82,ACH-000725,30.987943649291992,-3.0635833740234375,0.03125,-3.107867448428749,2.3292274475097656,-3.0,-5.034663200378418,-5.088725566864014,-4.980600833892822,1.0
83,ACH-000755,26.502197265625,-3.1495189666748047,0.09375,-3.1120326002533547,2.1148200035095215,-3.0,-4.59486722946167,-4.942511558532715,-4.209994792938232,1.0
84,ACH-000759,28.490633010864258,-3.0706112384796143,0.046875,-3.1078904640759806,2.1523759365081787,-3.0,-4.506373405456543,-4.627662658691406,-4.263793468475342,1.0
85,ACH-000768,25.683032989501953,-3.1044864654541016,0.0625,-3.1075500642137928,2.0129477977752686,-3.0,-4.671781539916992,-5.209825038909912,-3.9632465839385986,1.0
86,ACH-000783,26.051172256469727,-3.0986599922180176,0.0625,-3.106661057014215,2.0579004287719727,-3.0,-4.578557014465332,-4.943429470062256,-4.449377059936523,1.0
87,ACH-000818,31.99831199645996,-3.00742769241333,0.046875,-3.0967377205541267,2.511491298675537,-3.0,-3.1584584712982178,-3.2427139282226562,-2.9899470806121826,0.6666666865348816
88,ACH-000828,28.037588119506836,-3.0242667198181152,0.046875,-3.0894906204805257,2.4526917934417725,-3.0,-3.5176877975463867,-3.5176877975463867,-3.5176877975463867,1.0
89,ACH-000849,22.80900764465332,-3.1063623428344727,0.09375,-3.0911777927159205,2.1821563243865967,-3.0,-4.134531497955322,-4.213529586791992,-4.085666179656982,1.0
90,ACH-000856,20.658254623413086,-3.068260669708252,0.0625,-3.088886080415154,1.9369029998779297,-3.0,-4.092170715332031,-5.109348297119141,-3.579399585723877,1.0
91,ACH-000857,23.110422134399414,-3.0349411964416504,0.03125,-3.0834915920178037,2.208509922027588,-3.0,-4.118119239807129,-4.15250825881958,-4.0837297439575195,1.0
92,ACH-000859,19.52663230895996,-3.032597780227661,0.015625,-3.078402210838789,1.9839913845062256,-3.0,-5.08625602722168,-5.08625602722168,-5.08625602722168,1.0
93,ACH-000876,20.992258071899414,-3.1365978717803955,0.078125,-3.08422177693295,2.2906553745269775,-3.0,-4.748454570770264,-4.8973307609558105,-4.553423881530762,1.0
94,ACH-000902,18.55640983581543,-3.1185030937194824,0.09375,-3.087649908611603,1.9008607864379883,-3.0,-4.264035224914551,-4.641225337982178,-3.8245315551757812,1.0
95,ACH-000910,21.630237579345703,-3.053274393081665,0.03125,-3.0842123570586093,2.0908725261688232,-3.0,-4.704782485961914,-4.77376651763916,-4.635798454284668,1.0
96,ACH-000927,19.57538414001465,-3.146712064743042,0.09375,-3.0904623278270527,2.074212074279785,-3.0,-4.56492805480957,-5.026782512664795,-4.261931896209717,1.0
97,ACH-000930,22.068248748779297,-3.0896759033203125,0.0625,-3.090383685376379,2.0742223262786865,-3.0,-4.434817790985107,-4.845270156860352,-4.298000335693359,1.0
98,ACH-000934,24.17331886291504,-3.0725550651550293,0.046875,-3.088600823354244,2.2798075675964355,-3.0,-4.547843933105469,-5.018263816833496,-4.312633514404297,1.0
99,ACH-001390,22.5776424407959,-3.074458122253418,0.046875,-3.087186553244161,2.147691488265991,-3.0,-4.588442802429199,-4.780282020568848,-4.492522716522217,1.0
100,ACH-001819,21.596088409423828,-3.0427510738372803,0.03125,-3.082743005303473,2.117626667022705,-3.0,-4.368038177490234,-4.482166767120361,-4.253909111022949,1.0
