epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
1,ACH-000019,-986.97216796875,-993.5347290039062,6.013729095458984,0.5488321781158447,True,-4.943277359008789,0.109375,-0.4943277359008788,1.6631983518600464,-5.0,-4.481395721435547,-5.2233381271362305,-4.197456359863281,0.1428571492433548
2,ACH-000044,-1148.807861328125,-1155.7022705078125,6.335737705230713,0.5587237477302551,True,-4.8205647468566895,0.125,-0.9269514369964598,2.145955801010132,-5.0,-3.5645179748535156,-3.7894699573516846,-3.2612500190734863,0.0
3,ACH-000097,-681.5640258789062,-688.0985107421875,5.981008529663086,0.5534532070159912,True,-4.991137504577637,0.0625,-1.3333700437545775,1.4115657806396484,-5.0,-4.8581953048706055,-5.209224700927734,-4.4828715324401855,0.5
4,ACH-000111,-630.0358276367188,-636.4570922851562,5.869235992431641,0.5520351529121399,True,-4.962162017822266,0.0625,-1.6962492411613461,1.4419066905975342,-5.0,-4.394596576690674,-4.745954513549805,-4.1566691398620605,0.0
5,ACH-000117,-546.562255859375,-552.6461181640625,5.545004844665527,0.5388445854187012,True,-4.948473930358887,0.09375,-2.0214717100811,1.4111087322235107,-5.0,-4.450390815734863,-4.641740322113037,-4.010507106781006,0.0
6,ACH-000147,-682.0380859375,-688.7494506835938,6.13482141494751,0.5765520334243774,True,-4.987607955932617,0.046875,-2.318085334666252,1.9654552936553955,-5.0,-4.735633850097656,-4.89527702331543,-4.416347503662109,0.0
7,ACH-000148,-677.6266479492188,-683.9794311523438,5.811604022979736,0.5412063598632812,True,-4.945067405700684,0.09375,-2.580783541769695,2.126690626144409,-5.0,-4.414053440093994,-4.802177429199219,-3.7960166931152344,0.0
8,ACH-000196,-457.27032470703125,-463.676513671875,5.837479591369629,0.568706750869751,True,-4.844074726104736,0.140625,-2.8071126602031993,1.6068522930145264,-5.0,-3.89119815826416,-5.085062026977539,-3.4596805572509766,0.1111111119389534
9,ACH-000212,-428.63946533203125,-435.15093994140625,5.920973300933838,0.5905139446258545,True,-4.965602874755859,0.109375,-3.0229616816584652,1.6508809328079224,-5.0,-4.685510158538818,-5.147705078125,-4.219915390014648,0.1428571492433548
10,ACH-000223,-406.87994384765625,-413.2127685546875,5.7706451416015625,0.5621797442436218,True,-4.937582015991211,0.140625,-3.21442371509174,1.7673556804656982,-5.0,-4.556138038635254,-4.97719669342041,-3.7810568809509277,0.0
11,ACH-000248,-275.9597473144531,-282.2662353515625,5.744105339050293,0.5623962879180908,True,-4.897079944610596,0.171875,-3.3826893380436256,1.3124984502792358,-5.0,-4.401191711425781,-5.0888872146606445,-4.067816257476807,0.09090909361839294
12,ACH-000258,-247.33399963378906,-253.5200958251953,5.617424488067627,0.5686761140823364,True,-4.79995059967041,0.125,-3.524415464206304,1.3259022235870361,-5.0,-3.399603843688965,-4.365471839904785,-1.5138243436813354,0.0
13,ACH-000276,-306.6222839355469,-312.8468017578125,5.650523662567139,0.5739918351173401,True,-4.956472396850586,0.078125,-3.667621157470732,1.798799753189087,-5.0,-4.44285249710083,-4.872293949127197,-3.840078592300415,0.0
14,ACH-000277,-277.7138671875,-283.91290283203125,5.657265663146973,0.541771650314331,True,-4.90824031829834,0.09375,-3.7916830735534925,1.7909107208251953,-5.0,-4.0212297439575195,-4.527434349060059,-3.4257683753967285,0.0
15,ACH-000288,-221.7974395751953,-228.1250457763672,5.766079902648926,0.5615286827087402,True,-4.954571723937988,0.125,-3.9079719385919423,1.5842900276184082,-5.0,-4.636574745178223,-5.205519199371338,-4.234431743621826,0.125
16,ACH-000330,-195.94302368164062,-202.13052368164062,5.60560941696167,0.5818874835968018,True,-4.953788757324219,0.078125,-4.0125536204651695,1.5712928771972656,-5.0,-4.408497333526611,-5.123687744140625,-3.3732705116271973,0.20000000298023224
17,ACH-000349,-196.5833740234375,-202.5613555908203,5.416403293609619,0.561582088470459,True,-4.973954200744629,0.0625,-4.108693678493116,1.6970739364624023,-5.0,-4.58326530456543,-4.8955078125,-4.24191427230835,0.0
18,ACH-000352,-182.04541015625,-188.23458862304688,5.623735427856445,0.5654468536376953,True,-4.854866981506348,0.140625,-4.183311008794439,1.7570712566375732,-5.0,-3.967944622039795,-4.301857948303223,-3.515923023223877,0.0
19,ACH-000374,-139.26710510253906,-145.42547607421875,5.587886333465576,0.5704817771911621,True,-4.9861040115356445,0.046875,-4.26359030906856,1.4948012828826904,-5.0,-4.703551292419434,-4.942212104797363,-4.541036128997803,0.0
20,ACH-000536,-161.08094787597656,-167.27520751953125,5.640440940856934,0.5538117289543152,True,-4.971923351287842,0.078125,-4.334423613290488,1.9155529737472534,-5.0,-4.64061975479126,-5.152101993560791,-4.124195575714111,0.4000000059604645
21,ACH-000554,-109.38803100585938,-115.2975845336914,5.345824241638184,0.5637293457984924,True,-4.957150459289551,0.171875,-4.396696297890394,1.444351315498352,-5.0,-4.75069522857666,-5.056385040283203,-4.535921096801758,0.1818181872367859
22,ACH-000568,-117.70143127441406,-123.90251159667969,5.6464738845825195,0.5546053647994995,True,-4.9511871337890625,0.0625,-4.4521453814802605,1.702690601348877,-5.0,-4.218991756439209,-4.320643424987793,-3.9859957695007324,0.0
23,ACH-000573,-94.19989013671875,-100.22647857666016,5.4810261726379395,0.5455628037452698,True,-4.93269157409668,0.09375,-4.500200000741903,1.5366307497024536,-5.0,-4.282038688659668,-4.559538841247559,-3.8515007495880127,0.0
