epoch,ach_id,loss,mean_reward,validity,baseline,entropy
1,ACH-000019,-632.6192016601562,-3.1855263710021973,0.134765625,-0.31855263710021964,1.7672042846679688
2,ACH-000044,-673.5164794921875,-3.0571792125701904,0.083984375,-0.5924152946472167,2.109297275543213
3,ACH-000097,-499.8284606933594,-3.219895124435425,0.126953125,-0.8551632776260374,1.7439923286437988
4,ACH-000111,-450.7318420410156,-3.2020978927612305,0.158203125,-1.0898567391395566,1.764805793762207
5,ACH-000117,-406.72039794921875,-3.225557804107666,0.1328125,-1.3034268456363676,1.7937898635864258
6,ACH-000147,-341.72869873046875,-3.256545066833496,0.16796875,-1.4987386677560806,1.6848783493041992
7,ACH-000148,-330.48443603515625,-3.2354769706726074,0.13671875,-1.672412498047733,1.8448755741119385
8,ACH-000196,-272.6377868652344,-3.087080717086792,0.130859375,-1.813879319951639,1.7255902290344238
9,ACH-000212,-265.8155517578125,-3.2069969177246094,0.12890625,-1.953191079728936,1.8764387369155884
10,ACH-000223,-236.12477111816406,-3.1670217514038086,0.09765625,-2.074574146896423,1.8942217826843262
11,ACH-000248,-197.04901123046875,-3.165513038635254,0.140625,-2.1836680360703062,1.7790110111236572
12,ACH-000258,-170.0175018310547,-3.042936325073242,0.125,-2.2695948649705997,1.7471882104873657
13,ACH-000276,-154.7604217529297,-3.207857608795166,0.134765625,-2.3634211393530564,1.7722465991973877
14,ACH-000277,-141.413330078125,-3.212242603302002,0.14453125,-2.4483032857479508,1.8484435081481934
15,ACH-000288,-123.44451141357422,-3.228445053100586,0.1328125,-2.5263174624832145,1.8668038845062256
16,ACH-000330,-102.45635986328125,-3.230823516845703,0.146484375,-2.5967680679194634,1.8090429306030273
17,ACH-000349,-81.76841735839844,-3.209585428237915,0.134765625,-2.6580498039513083,1.695750117301941
18,ACH-000352,-81.34115600585938,-3.128568649291992,0.109375,-2.705101688485377,1.9823122024536133
19,ACH-000374,-65.79927825927734,-3.1959033012390137,0.1328125,-2.754181849760741,1.8573015928268433
20,ACH-000536,-58.40882873535156,-3.1920838356018066,0.1171875,-2.7979720483448474,1.9768662452697754
21,ACH-000554,-43.867889404296875,-3.1816155910491943,0.111328125,-2.8363364026152817,1.8025832176208496
22,ACH-000568,-38.50373840332031,-3.1360559463500977,0.12109375,-2.866308356988763,1.954679250717163
23,ACH-000573,-31.636974334716797,-3.1591453552246094,0.115234375,-2.895592056812348,1.9569767713546753
24,ACH-000621,-23.237794876098633,-3.209935426712036,0.12890625,-2.9270263938023167,1.822443962097168
25,ACH-000624,-15.57904052734375,-3.118680477142334,0.119140625,-2.9461918021363185,1.7354300022125244
26,ACH-000643,-12.74966049194336,-3.182029962539673,0.109375,-2.9697756181766537,1.901332139968872
27,ACH-000668,-7.323330402374268,-3.1723499298095703,0.1171875,-2.9900330493399454,1.8799536228179932
28,ACH-000691,-2.7249221801757812,-3.13254451751709,0.1015625,-3.00428419615766,1.8359975814819336
29,ACH-000699,0.36966046690940857,-3.1814916133880615,0.107421875,-3.0220049378807,1.885095238685608
30,ACH-000711,4.40993595123291,-3.14902400970459,0.09375,-3.034706845063089,1.8840548992156982
31,ACH-000725,7.534200668334961,-3.1785240173339844,0.10546875,-3.0490885622901787,1.9485249519348145
32,ACH-000755,10.395063400268555,-3.1765289306640625,0.107421875,-3.061832599127567,1.8769352436065674
33,ACH-000759,13.451462745666504,-3.168729066848755,0.11328125,-3.0725222458996857,1.8998395204544067
34,ACH-000768,15.572579383850098,-3.173248767852783,0.10546875,-3.0825948980949955,1.8729444742202759
35,ACH-000783,18.541934967041016,-3.124359369277954,0.080078125,-3.0867713452132914,1.9324804544448853
36,ACH-000818,24.467012405395508,-3.009378433227539,0.06640625,-3.079032054014716,2.3746190071105957
37,ACH-000828,21.235328674316406,-3.0319197177886963,0.08203125,-3.0743208203921144,2.2677345275878906
38,ACH-000849,17.291378021240234,-3.0990777015686035,0.095703125,-3.0767965085097635,1.9946484565734863
39,ACH-000856,16.46857261657715,-3.069194793701172,0.08203125,-3.076036337028904,1.8439170122146606
40,ACH-000857,16.93557357788086,-3.122025489807129,0.09765625,-3.0806352523067266,1.9230129718780518
41,ACH-000859,19.41353988647461,-3.1120994091033936,0.068359375,-3.0837816679863934,2.0638980865478516
42,ACH-000876,19.84632682800293,-3.138610601425171,0.087890625,-3.089264561330271,2.038060188293457
43,ACH-000902,20.597640991210938,-3.092531204223633,0.083984375,-3.0895912256196074,1.9807243347167969
44,ACH-000910,19.74049186706543,-3.154888153076172,0.115234375,-3.096120918365264,1.9014954566955566
45,ACH-000927,21.76753044128418,-3.1559090614318848,0.1015625,-3.1020997326719257,1.9542990922927856
46,ACH-000930,23.94059944152832,-3.1383299827575684,0.091796875,-3.10572275768049,2.015834331512451
47,ACH-000934,24.879535675048828,-3.1440837383270264,0.095703125,-3.109558855745144,2.0224523544311523
48,ACH-001390,25.24699592590332,-3.121077299118042,0.07421875,-3.1107107000824334,1.9706532955169678
49,ACH-001819,26.62032127380371,-3.1050496101379395,0.07421875,-3.110144591087984,2.039992332458496
50,ACH-001820,27.045028686523438,-3.125030994415283,0.07421875,-3.111633231420714,2.0975289344787598
