epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
16,ACH-000330,-194.91677856445312,-201.106201171875,5.60744571685791,0.5819811224937439,True,-4.953788757324219,0.078125,-4.013136612320686,1.5699093341827393,-5.0,-4.408497333526611,-5.123687744140625,-3.3732705116271973,0.20000000298023224
17,ACH-000349,-195.5424346923828,-201.52188110351562,5.417741775512695,0.5617005228996277,True,-4.973954200744629,0.0625,-4.10921837116308,1.6961755752563477,-5.0,-4.58326530456543,-4.8955078125,-4.24191427230835,0.0
18,ACH-000352,-180.99681091308594,-187.18760681152344,5.625175476074219,0.5656174421310425,True,-4.854866981506348,0.140625,-4.183783232197407,1.7561882734298706,-5.0,-3.967944622039795,-4.301857948303223,-3.515923023223877,0.0
19,ACH-000374,-137.80462646484375,-143.96470642089844,5.589405536651611,0.5706684589385986,True,-4.987274169921875,0.0625,-4.264132325969854,1.4937039613723755,-5.0,-4.796387672424316,-5.074897289276123,-4.541036128997803,0.25
20,ACH-000536,-160.01451110839844,-166.21072387695312,5.642373085021973,0.553842306137085,True,-4.971923351287842,0.078125,-4.334911428501653,1.913466215133667,-5.0,-4.64061975479126,-5.152101993560791,-4.124195575714111,0.4000000059604645
21,ACH-000554,-108.56317138671875,-114.47442626953125,5.347576141357422,0.5636816024780273,True,-4.957150459289551,0.171875,-4.397135331580443,1.4425926208496094,-5.0,-4.75069522857666,-5.056385040283203,-4.535921096801758,0.1818181872367859
22,ACH-000568,-116.76604461669922,-122.96906280517578,5.648531436920166,0.5544848442077637,True,-4.9511871337890625,0.0625,-4.452540511801304,1.701419711112976,-5.0,-4.218991756439209,-4.320643424987793,-3.9859957695007324,0.0
23,ACH-000573,-95.82867431640625,-101.85719299316406,5.483191013336182,0.5453277826309204,True,-4.93269157409668,0.09375,-4.500555618030842,1.5747520923614502,-5.0,-4.282038688659668,-4.559538841247559,-3.8515007495880127,0.0
24,ACH-000621,-91.23871612548828,-96.98388671875,5.186835289001465,0.5583361983299255,True,-4.951010704040527,0.125,-4.54560112663181,1.640791654586792,-5.0,-4.608086585998535,-5.209857940673828,-4.122739791870117,0.25
25,ACH-000624,-73.35971069335938,-79.29074096679688,5.383329391479492,0.547703206539154,True,-4.8872175216674805,0.125,-4.579762766135378,1.4801537990570068,-5.0,-4.0977396965026855,-4.526785373687744,-3.742800712585449,0.0
26,ACH-000643,-46.692752838134766,-52.27201461791992,5.021827220916748,0.5574356317520142,True,-4.923213005065918,0.125,-4.614107790028432,1.0600674152374268,-5.0,-4.385702610015869,-5.040208339691162,-3.3833086490631104,0.25
27,ACH-000668,-70.86117553710938,-76.884765625,5.4456787109375,0.5779092311859131,True,-4.968729496002197,0.09375,-4.649569960625808,1.690927505493164,-5.0,-4.666446208953857,-5.066215515136719,-4.203089714050293,0.1666666716337204
28,ACH-000691,-52.2899055480957,-58.06596374511719,5.212074279785156,0.5639832615852356,True,-4.9261474609375,0.078125,-4.677227710656977,1.4114086627960205,-5.0,-4.054687023162842,-4.153421401977539,-3.817580223083496,0.0
29,ACH-000699,-47.52946090698242,-53.65798568725586,5.534669399261475,0.5938549041748047,True,-4.963696479797363,0.125,-4.7058745875710155,1.3993029594421387,-5.0,-4.709568977355957,-5.346988677978516,-3.8509023189544678,0.125
